date_time,lat,lng,depth,magnitude,area
2020-1-2 14:16:49.6,36°48.3'N,140°33.2'E,7,0.7,茨城県北部
2020-1-2 14:17:41.7,36°48.6'N,140°32.7'E,7,0.0,茨城県北部
2020-1-2 14:18:34.1,35°56.6'N,139°33.4'E,41,0.5,埼玉県南部
2020-1-2 14:20:11.6,24°11.6'N,123°48.8'E,17,1.2,西表島付近
2020-1-2 14:24:46.5,36°35.3'N,141°3.1'E,35,0.9,茨城県沖
2020-1-2 14:27:17.0,32°43.0'N,131°14.8'E,13,1.2,宮崎県北部山沿い
2020-1-2 14:31:46.0,37°0.2'N,140°35.8'E,9,0.4,福島県中通り
2020-1-2 14:35:0.4,27°31.8'N,129°9.1'E,22,0.9,奄美大島近海
2020-1-2 14:38:55.7,33°7.2'N,129°32.4'E,10,0.9,五島列島近海
2020-1-2 14:40:38.4,32°39.5'N,130°0.1'E,14,0.5,橘湾
2020-1-2 14:42:45.7,36°46.6'N,141°38.4'E,50,2.4,福島県沖
2020-1-2 14:43:18.6,32°49.7'N,132°16.6'E,34,0.4,豊後水道
2020-1-2 14:47:27.4,34°12.7'N,135°11.5'E,3,0.4,和歌山県北部
2020-1-2 14:48:14.7,34°10.3'N,135°29.7'E,7,0.2,和歌山県北部
2020-1-2 14:54:1.6,36°45.7'N,140°34.3'E,8,0.8,茨城県北部
2020-1-2 14:55:17.5,33°51.3'N,134°57.7'E,43,1.5,紀伊水道
2020-1-2 14:55:59.9,36°45.9'N,140°34.0'E,8,0.0,茨城県北部
2020-1-2 14:56:52.3,36°45.8'N,140°33.9'E,8,-0.3,茨城県北部
2020-1-2 14:59:11.6,32°10.2'N,131°6.1'E,97,1.6,熊本県球磨地方
2020-1-2 15:00:11.3,31°8.3'N,131°29.3'E,30,1.0,大隅半島東方沖
2020-1-2 15:07:48.4,35°35.0'N,137°56.6'E,15,0.0,長野県南部
2020-1-2 15:08:18.1,39°4.4'N,142°22.4'E,34,2.4,岩手県沖
